expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff,student_z
2020-02-14,327.0,call,10.6,10.73,10.64,249,10.81,5,154,1996,2020-02-14,0.36007,0.95585,0.01467,-0.31047,0.0165,0.00855,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5363,7,25856,2020-02-14,0.24879,-0.00695,0.00441,-0.04249,0.00342,-6e-05,2020-02-08/2020-02-14,-2.0197865392587766,-2.0197865392587766
2020-02-14,330.0,call,7.58,7.71,7.62,5,7.8,5,1243,3894,2020-02-14,0.26434,0.95111,0.02169,-0.25018,0.0179,0.00859,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5340,57,32525,2020-02-14,0.18492,-0.0091,0.00751,-0.03995,0.00434,-8e-05,2020-02-08/2020-02-14,-2.3972338214286486,-2.3972338214286486
2020-02-14,333.0,call,4.6,4.69,4.62,5,4.76,5,1405,7458,2020-02-14,0.16861,0.94107,0.03942,-0.18852,0.02075,0.00858,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5318,11097,42329,2020-02-14,0.11907,-0.0135,0.01644,-0.0362,0.00611,-0.00013,2020-02-08/2020-02-14,-2.89089784170532,-2.89089784170532
2020-02-14,334.0,call,3.58,3.69,3.62,5,3.76,5,4944,13475,2020-02-14,0.13919,0.93071,0.05416,-0.17727,0.02354,0.00851,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5410,15847,71446,2020-02-14,0.09635,-0.01631,0.0239,-0.0344,0.00719,-0.00015,2020-02-08/2020-02-14,-4.718404070614153,-4.718404070614153
2020-02-19,339.0,call,0.66,0.67,0.66,5,0.67,60,36221,30709,2020-02-14,0.0773,0.33397,0.11913,-0.11599,0.14378,0.01535,2020-02-08/2020-02-14,put,2.01,1.96,1.95,220,1.98,91,1413,1030,2020-02-14,0.07471,-0.67153,0.12245,-0.09681,0.14283,-0.03132,2020-02-08/2020-02-14,2.2158349321503144,2.2158349321503144
2020-02-21,325.0,call,12.82,12.95,12.86,5,13.04,5,248,29920,2020-02-14,0.18507,0.93431,0.01477,-0.0921,0.05976,0.05801,2020-02-08/2020-02-14,put,0.14,0.12,0.12,8627,0.13,3150,10874,95913,2020-02-14,0.15885,-0.03973,0.01154,-0.04488,0.04007,-0.0026,2020-02-08/2020-02-14,-5.35304714283522,-5.35304714283522
2020-02-21,326.0,call,11.8,11.97,11.88,250,12.06,5,92,24747,2020-02-14,0.17669,0.92697,0.01679,-0.09487,0.06485,0.05772,2020-02-08/2020-02-14,put,0.15,0.15,0.15,340,0.16,8027,20970,58572,2020-02-14,0.15519,-0.0493,0.01406,-0.05213,0.04768,-0.00322,2020-02-08/2020-02-14,-2.808145828049968,-2.808145828049968
2020-02-21,327.0,call,10.56,11.0,10.91,200,11.09,5,888,20146,2020-02-14,0.16907,0.91731,0.01928,-0.09899,0.07126,0.05728,2020-02-08/2020-02-14,put,0.18,0.17,0.17,8511,0.18,1982,6732,43815,2020-02-14,0.14818,-0.0571,0.01654,-0.05586,0.05357,-0.00373,2020-02-08/2020-02-14,-2.00467598992018,-2.00467598992018
2020-02-21,340.0,call,0.71,0.7,0.7,2349,0.71,1998,29807,77544,2020-02-14,0.08507,0.28445,0.08528,-0.10049,0.15858,0.01828,2020-02-08/2020-02-14,put,3.01,2.96,2.95,36,2.97,153,4035,6596,2020-02-14,0.08264,-0.72134,0.08693,-0.08201,0.15701,-0.04727,2020-02-08/2020-02-14,5.480742055996142,5.480742055996142
2020-02-24,341.0,call,0.56,0.58,0.57,1423,0.59,757,1819,29124,2020-02-14,0.07791,0.23055,0.06984,-0.06953,0.1699,0.02117,2020-02-08/2020-02-14,put,4.5,3.81,3.8,29,3.83,69,38,233,2020-02-14,0.07654,-0.77352,0.07038,-0.05291,0.16821,-0.07259,2020-02-08/2020-02-14,2.153494027025632,2.153494027025632
2020-02-28,339.0,call,1.97,1.98,1.98,5,1.99,55,3276,30550,2020-02-14,0.0959,0.42909,0.06192,-0.09509,0.2596,0.0548,2020-02-08/2020-02-14,put,3.16,3.12,3.1,200,3.13,408,1175,2123,2020-02-14,0.09376,-0.57267,0.06328,-0.07836,0.25938,-0.07535,2020-02-08/2020-02-14,2.116785676799931,2.116785676799931
